full_text,Case Folding,cleaning,Tokenize,Negation_Handling,Negation_Changes,text_clean,translated_text,subjektivitas,polaritas,sentimen,sentiment
 Lantiklah pak Prabowo sebagai presiden poros tengah tanpa Gibran sebagai wapres, lantiklah pak prabowo sebagai presiden poros tengah tanpa gibran sebagai wapres,lantiklah pak prabowo sebagai presiden poros tengah tanpa gibran sebagai wapres,"['lantiklah', 'pak', 'prabowo', 'sebagai', 'presiden', 'poros', 'tengah', 'tanpa', 'gibran', 'sebagai', 'wapres']","['lantiklah', 'pak', 'prabowo', 'sebagai', 'presiden', 'poros', 'tengah', 'tanpa_gibran', 'sebagai', 'wapres']","[(['tanpa', 'gibran'], 'tanpa_gibran'), (['gibran', 'sebagai'], 'sebagai'), (['sebagai', 'wapres'], 'wapres')]",lantiklah pak prabowo sebagai presiden poros tengah tanpa_gibran sebagai wapres,appoint Pak Prabowo as president of the central axis without Gibran as vice president,0.25,0.0,netral,2
Calon jaksa agung tak boleh dari pengurus partai politik. Jika begitu siapa saja nama populer yang  menduduki kursi Jaksa Agung di masa pemerintahan Prabowo Subianto? ,calon jaksa agung tak boleh dari pengurus partai politik. jika begitu siapa saja nama populer yang  menduduki kursi jaksa agung di masa pemerintahan prabowo subianto? ,calon jaksa agung tak boleh dari pengurus partai politik jika begitu siapa saja nama populer yang menduduki kursi jaksa agung di masa pemerintahan prabowo subianto?,"['calon', 'jaksa', 'agung', 'tak', 'boleh', 'dari', 'pengurus', 'partai', 'politik', 'jika', 'begitu', 'siapa', 'saja', 'nama', 'populer', 'yang', 'menduduki', 'kursi', 'jaksa', 'agung', 'di', 'masa', 'pemerintahan', 'prabowo', 'subianto', '?']","['calon', 'jaksa', 'agung', 'tak_boleh', 'dari', 'pengurus', 'partai', 'politik', 'jika', 'begitu', 'siapa', 'saja', 'nama', 'populer', 'yang', 'menduduki', 'kursi', 'jaksa', 'agung', 'di', 'masa', 'pemerintahan', 'prabowo', 'subianto', '?']","[(['tak', 'boleh'], 'tak_boleh'), (['boleh', 'dari'], 'dari'), (['dari', 'pengurus'], 'pengurus'), (['pengurus', 'partai'], 'partai'), (['partai', 'politik'], 'politik'), (['politik', 'jika'], 'jika'), (['jika', 'begitu'], 'begitu'), (['begitu', 'siapa'], 'siapa'), (['siapa', 'saja'], 'saja'), (['saja', 'nama'], 'nama'), (['nama', 'populer'], 'populer'), (['populer', 'yang'], 'yang'), (['yang', 'menduduki'], 'menduduki'), (['menduduki', 'kursi'], 'kursi'), (['kursi', 'jaksa'], 'jaksa'), (['jaksa', 'agung'], 'agung'), (['agung', 'di'], 'di'), (['di', 'masa'], 'masa'), (['masa', 'pemerintahan'], 'pemerintahan'), (['pemerintahan', 'prabowo'], 'prabowo'), (['prabowo', 'subianto'], 'subianto'), (['subianto', '?'], '?')]",calon jaksa agung tak_boleh dari pengurus partai politik jika begitu siapa saja nama populer yang menduduki kursi jaksa agung di masa pemerintahan prabowo subianto ?,"Candidates for attorney general cannot be political party administrators. So, who are the popular names who occupied the position of attorney general during Prabowo Subianto's administration?",0.5,0.17500000000000002,positif,1
@Aryprasetyo85 Amandemen UUD 45 yaitu Pelantikan Presiden seumur hidup ,@aryprasetyo85 amandemen uud 45 yaitu pelantikan presiden seumur hidup ,amandemen uud yaitu pelantikan presiden seumur hidup,"['amandemen', 'uud', 'yaitu', 'pelantikan', 'presiden', 'seumur', 'hidup']","['amandemen', 'uud', 'yaitu', 'pelantikan', 'presiden', 'seumur', 'hidup']",,amandemen uud yaitu pelantikan presiden seumur hidup,"amendment to the constitution, namely the appointment of a president for life",0.0,0.0,netral,2
2. Pelantikan ini berdasarkan Keputusan Presiden Republik Indonesia tentang Pejabat Pimpinan Tinggi di Lingkungan Kementerian Sekretariat Negara.,2. pelantikan ini berdasarkan keputusan presiden republik indonesia tentang pejabat pimpinan tinggi di lingkungan kementerian sekretariat negara.,pelantikan ini berdasarkan keputusan presiden republik indonesia tentang pejabat pimpinan tinggi di lingkungan kementerian sekretariat negara,"['pelantikan', 'ini', 'berdasarkan', 'keputusan', 'presiden', 'republik', 'indonesia', 'tentang', 'pejabat', 'pimpinan', 'tinggi', 'di', 'lingkungan', 'kementerian', 'sekretariat', 'negara']","['pelantikan', 'ini', 'berdasarkan', 'keputusan', 'presiden', 'republik', 'indonesia', 'tentang', 'pejabat', 'pimpinan', 'tinggi', 'di', 'lingkungan', 'kementerian', 'sekretariat', 'negara']",,pelantikan ini berdasarkan keputusan presiden republik indonesia tentang pejabat pimpinan tinggi di lingkungan kementerian sekretariat negara,This inauguration is based on the decision of the President of the Republic of Indonesia regarding high-ranking officials within the Ministry of State Secretariat,0.0,0.0,netral,2
@5teV3n_Pe9eL Ini kapan jokowi lengser.. mana pelantikan prabowo jadi presiden... jangan2 gak jadi. ,@5tev3n_pe9el ini kapan jokowi lengser.. mana pelantikan prabowo jadi presiden... jangan2 gak jadi. ,ini kapan jokowi lengser mana pelantikan prabowo jadi presiden jangan gak jadi,"['ini', 'kapan', 'jokowi', 'lengser', 'mana', 'pelantikan', 'prabowo', 'jadi', 'presiden', 'jangan', 'gak', 'jadi']","['ini', 'kapan', 'jokowi', 'lengser', 'mana', 'pelantikan', 'prabowo', 'jadi', 'presiden', 'jangan_gak', 'jadi']","[(['jangan', 'gak'], 'jangan_gak'), (['gak', 'jadi'], 'jadi')]",ini kapan jokowi lengser mana pelantikan prabowo jadi presiden jangan_gak jadi,This is when Jokowi steps down and Prabowo's inauguration as president doesn't happen,0.2888888888888889,-0.15555555555555559,negatif,0
 Putri menyampaikan pentingnya transisi berkelanjutan dari pemerintahan yang ada sekarang menuju pemerintahan yang baru., putri menyampaikan pentingnya transisi berkelanjutan dari pemerintahan yang ada sekarang menuju pemerintahan yang baru.,putri menyampaikan pentingnya transisi berkelanjutan dari pemerintahan yang ada sekarang menuju pemerintahan yang baru,"['putri', 'menyampaikan', 'pentingnya', 'transisi', 'berkelanjutan', 'dari', 'pemerintahan', 'yang', 'ada', 'sekarang', 'menuju', 'pemerintahan', 'yang', 'baru']","['putri', 'menyampaikan', 'pentingnya', 'transisi', 'berkelanjutan', 'dari', 'pemerintahan', 'yang', 'ada', 'sekarang', 'menuju', 'pemerintahan', 'yang', 'baru']",,putri menyampaikan pentingnya transisi berkelanjutan dari pemerintahan yang ada sekarang menuju pemerintahan yang baru,Putri conveyed the importance of a sustainable transition from the current government to the new government,0.42727272727272725,0.06818181818181818,positif,1
meski sdh selesai pilpres masih terus tinggi di tambah pilkada di depan dan habis masa presiden yang ada dan pelantikan presiden terpilih,meski sdh selesai pilpres masih terus tinggi di tambah pilkada di depan dan habis masa presiden yang ada dan pelantikan presiden terpilih,meski sdh selesai pilpres masih terus tinggi di tambah pilkada di depan dan habis masa presiden yang ada dan pelantikan presiden terpilih,"['meski', 'sdh', 'selesai', 'pilpres', 'masih', 'terus', 'tinggi', 'di', 'tambah', 'pilkada', 'di', 'depan', 'dan', 'habis', 'masa', 'presiden', 'yang', 'ada', 'dan', 'pelantikan', 'presiden', 'terpilih']","['meski', 'sdh', 'selesai', 'pilpres', 'masih', 'terus', 'tinggi', 'di', 'tambah', 'pilkada', 'di', 'depan', 'dan', 'habis', 'masa', 'presiden', 'yang', 'ada', 'dan', 'pelantikan', 'presiden', 'terpilih']",,meski sdh selesai pilpres masih terus tinggi di tambah pilkada di depan dan habis masa presiden yang ada dan pelantikan presiden terpilih,"Even though the presidential election has finished, it continues to be high, plus the upcoming regional elections and the end of the existing presidential term and the inauguration of the elected president",0.5399999999999999,0.16,positif,1
Nanti pelantikan presiden RI @prabowo tolong jangan terlalu banyak drama. ???ÃÂSOLUSINYA SEMUA koruptor WAJIB DIHUKUM MATI!! ???ÃÂBUKAN DIHUKUM POTONG MASA TAHANAN!! ???ÃÂJIKA TIDAK DITERAPKAN &amp; TIDAK BISA MENGELOLA NEGARA. ???ÃÂ,nanti pelantikan presiden ri @prabowo tolong jangan terlalu banyak drama. ???ãâsolusinya semua koruptor wajib dihukum mati!! ???ãâbukan dihukum potong masa tahanan!! ???ãâjika tidak diterapkan &amp; tidak bisa mengelola negara. ???ãâ,nanti pelantikan presiden ri tolong jangan terlalu banyak drama ? solusinya semua koruptor wajib dihukum mati!! ? bukan dihukum potong masa tahanan!! ? jika tidak diterapkan amp tidak bisa mengelola negara ?,"['nanti', 'pelantikan', 'presiden', 'ri', 'tolong', 'jangan', 'terlalu', 'banyak', 'drama', '?', 'solusinya', 'semua', 'koruptor', 'wajib', 'dihukum', 'mati', '!', '!', '?', 'bukan', 'dihukum', 'potong', 'masa', 'tahanan', '!', '!', '?', 'jika', 'tidak', 'diterapkan', 'amp', 'tidak', 'bisa', 'mengelola', 'negara', '?']","['nanti', 'pelantikan', 'presiden', 'ri', 'tolong', 'jangan_terlalu', 'banyak', 'drama', '?', 'solusinya', 'semua', 'koruptor', 'wajib', 'dihukum', 'mati', '!', '!', '?', 'bukan', 'dihukum', 'potong', 'masa', 'tahanan', '!', '!', '?', 'jika', 'tidak_diterapkan', 'amp', 'tidak_bisa', 'mengelola', 'negara', '?']","[(['jangan', 'terlalu'], 'jangan_terlalu'), (['terlalu', 'banyak'], 'banyak'), (['banyak', 'drama'], 'drama'), (['drama', '?'], '?'), (['?', 'solusinya'], 'solusinya'), (['solusinya', 'semua'], 'semua'), (['semua', 'koruptor'], 'koruptor'), (['koruptor', 'wajib'], 'wajib'), (['wajib', 'dihukum'], 'dihukum'), (['dihukum', 'mati'], 'mati'), (['mati', '!'], '!'), (['!', '?'], '?'), (['?', 'bukan'], 'bukan'), (['bukan', 'dihukum'], 'dihukum'), (['dihukum', 'potong'], 'potong'), (['potong', 'masa'], 'masa'), (['masa', 'tahanan'], 'tahanan'), (['tahanan', '!'], '!'), (['!', '?'], '?'), (['?', 'jika'], 'jika'), (['jika', 'tidak'], 'tidak_diterapkan'), (['tidak', 'diterapkan'], 'amp'), (['diterapkan', 'amp'], 'tidak_bisa'), (['amp', 'tidak'], 'mengelola'), (['tidak', 'bisa'], 'negara'), (['bisa', 'mengelola'], '?')]",nanti pelantikan presiden ri tolong jangan_terlalu banyak drama ? solusinya semua koruptor wajib dihukum mati ! ! ? bukan dihukum potong masa tahanan ! ! ? jika tidak_diterapkan amp tidak_bisa mengelola negara ?,"Later in the presidential inauguration, please don't have too much drama? The solution is that all corruptors must be sentenced to death! ! ? not sentenced to a short sentence! ! ? if not_applied amp can't_manage state ?",0.16666666666666666,0.10416666666666667,positif,1
 @chefbane1 Belum saatnya chef.... Ntar pasca pilkada atau pelantikan presiden... , @chefbane1 belum saatnya chef.... ntar pasca pilkada atau pelantikan presiden... ,belum saatnya chef ntar pasca pilkada atau pelantikan presiden,"['belum', 'saatnya', 'chef', 'ntar', 'pasca', 'pilkada', 'atau', 'pelantikan', 'presiden']","['belum', 'saatnya', 'chef', 'ntar', 'pasca', 'pilkada', 'atau', 'pelantikan', 'presiden']",,belum saatnya chef ntar pasca pilkada atau pelantikan presiden,It's not time for chefs yet after the regional elections or presidential inauguration,0.0,0.0,netral,2
Program-program Prabowo selaku presiden terpilih akan segera dijalankan setelah pelantikan. semoga rakyat Indonesia semakin sejahtera. makmur. dan berdaulat. serta mempunyai pertahanan yang kuat ,program-program prabowo selaku presiden terpilih akan segera dijalankan setelah pelantikan. semoga rakyat indonesia semakin sejahtera. makmur. dan berdaulat. serta mempunyai pertahanan yang kuat ,program program prabowo selaku presiden terpilih akan segera dijalankan setelah pelantikan semoga rakyat indonesia semakin sejahtera makmur dan berdaulat serta mempunyai pertahanan yang kuat,"['program', 'program', 'prabowo', 'selaku', 'presiden', 'terpilih', 'akan', 'segera', 'dijalankan', 'setelah', 'pelantikan', 'semoga', 'rakyat', 'indonesia', 'semakin', 'sejahtera', 'makmur', 'dan', 'berdaulat', 'serta', 'mempunyai', 'pertahanan', 'yang', 'kuat']","['program', 'program', 'prabowo', 'selaku', 'presiden', 'terpilih', 'akan', 'segera', 'dijalankan', 'setelah', 'pelantikan', 'semoga', 'rakyat', 'indonesia', 'semakin', 'sejahtera', 'makmur', 'dan', 'berdaulat', 'serta', 'mempunyai', 'pertahanan', 'yang', 'kuat']",,program program prabowo selaku presiden terpilih akan segera dijalankan setelah pelantikan semoga rakyat indonesia semakin sejahtera makmur dan berdaulat serta mempunyai pertahanan yang kuat,"Prabowo's program as elected president will be implemented immediately after the inauguration so that the Indonesian people will become more prosperous, prosperous and sovereign and will have a strong defense",0.6166666666666667,0.4666666666666667,positif,1
Biasa mas mau ada pelantikan presiden. ,biasa mas mau ada pelantikan presiden. ,biasa mas mau ada pelantikan presiden,"['biasa', 'mas', 'mau', 'ada', 'pelantikan', 'presiden']","['biasa', 'mas', 'mau', 'ada', 'pelantikan', 'presiden']",,biasa mas mau ada pelantikan presiden,"Normally, bro, there will be a presidential inauguration",0.6499999999999999,0.15,positif,1
@alisyarief Padahal pakai saja Hak Angket secepatnya. Semoga adem deh politik menjelang pelantikan presiden baru. ,@alisyarief padahal pakai saja hak angket secepatnya. semoga adem deh politik menjelang pelantikan presiden baru. ,padahal pakai saja hak angket secepatnya semoga adem deh politik menjelang pelantikan presiden baru,"['padahal', 'pakai', 'saja', 'hak', 'angket', 'secepatnya', 'semoga', 'adem', 'deh', 'politik', 'menjelang', 'pelantikan', 'presiden', 'baru']","['padahal', 'pakai', 'saja', 'hak', 'angket', 'secepatnya', 'semoga', 'adem', 'deh', 'politik', 'menjelang', 'pelantikan', 'presiden', 'baru']",,padahal pakai saja hak angket secepatnya semoga adem deh politik menjelang pelantikan presiden baru,"In fact, just use the right of inquiry as soon as possible, hopefully the politics will be calm before the inauguration of the new president",0.685064935064935,0.18051948051948052,positif,1
Badan Pengurus Harian Pimpinan Pusat Gerakan Pemuda Ansor Masa Khidmat 2024 - 2029 telah disahkan dan dibaiat oleh PBNU di Istora Senayan Senin (27/5). Uniknya Presiden RI Bapak @jokowi sampai menirukan gaya Sahabat Pengurus dalam video pelantikan tersebut. ,badan pengurus harian pimpinan pusat gerakan pemuda ansor masa khidmat 2024 - 2029 telah disahkan dan dibaiat oleh pbnu di istora senayan senin (27/5). uniknya presiden ri bapak @jokowi sampai menirukan gaya sahabat pengurus dalam video pelantikan tersebut. ,badan pengurus harian pimpinan pusat gerakan pemuda ansor masa khidmat telah disahkan dan dibaiat oleh pbnu di istora senayan senin uniknya presiden ri bapak sampai menirukan gaya sahabat pengurus dalam video pelantikan tersebut,"['badan', 'pengurus', 'harian', 'pimpinan', 'pusat', 'gerakan', 'pemuda', 'ansor', 'masa', 'khidmat', 'telah', 'disahkan', 'dan', 'dibaiat', 'oleh', 'pbnu', 'di', 'istora', 'senayan', 'senin', 'uniknya', 'presiden', 'ri', 'bapak', 'sampai', 'menirukan', 'gaya', 'sahabat', 'pengurus', 'dalam', 'video', 'pelantikan', 'tersebut']","['badan', 'pengurus', 'harian', 'pimpinan', 'pusat', 'gerakan', 'pemuda', 'ansor', 'masa', 'khidmat', 'telah', 'disahkan', 'dan', 'dibaiat', 'oleh', 'pbnu', 'di', 'istora', 'senayan', 'senin', 'uniknya', 'presiden', 'ri', 'bapak', 'sampai', 'menirukan', 'gaya', 'sahabat', 'pengurus', 'dalam', 'video', 'pelantikan', 'tersebut']",,badan pengurus harian pimpinan pusat gerakan pemuda ansor masa khidmat telah disahkan dan dibaiat oleh pbnu di istora senayan senin uniknya presiden ri bapak sampai menirukan gaya sahabat pengurus dalam video pelantikan tersebut,"The daily management body of the central leadership of the Ansor Youth Movement during the solemn period has been approved and pledged by the PBNU at Istora Senayan Monday. The President of the Republic of Indonesia, Mr. Unique, even imitated the style of his friend's management in the inauguration video.",0.4166666666666667,0.125,positif,1
@tempodotco Jika benar berani ga membatalkan pelantikan Presiden yg menang di pilpres 2024 itu???? jangan omon2 doang ,@tempodotco jika benar berani ga membatalkan pelantikan presiden yg menang di pilpres 2024 itu???? jangan omon2 doang ,jika benar berani ga membatalkan pelantikan presiden yg menang di pilpres itu? jangan omon doang,"['jika', 'benar', 'berani', 'ga', 'membatalkan', 'pelantikan', 'presiden', 'yg', 'menang', 'di', 'pilpres', 'itu', '?', 'jangan', 'omon', 'doang']","['jika', 'benar', 'berani', 'ga_membatalkan', 'pelantikan', 'presiden', 'yg', 'menang', 'di', 'pilpres', 'itu', '?', 'jangan_omon', 'doang']","[(['ga', 'membatalkan'], 'ga_membatalkan'), (['membatalkan', 'pelantikan'], 'pelantikan'), (['pelantikan', 'presiden'], 'presiden'), (['presiden', 'yg'], 'yg'), (['yg', 'menang'], 'menang'), (['menang', 'di'], 'di'), (['di', 'pilpres'], 'pilpres'), (['pilpres', 'itu'], 'itu'), (['itu', '?'], '?'), (['?', 'jangan'], 'jangan_omon'), (['jangan', 'omon'], 'doang')]",jika benar berani ga_membatalkan pelantikan presiden yg menang di pilpres itu ? jangan_omon doang,If you really dare not cancel the inauguration of the president who won the presidential election? don't just talk,0.2,0.2,positif,1
 @hesagelap lu posting pelantikan prabowo jd presiden maju sehari , @hesagelap lu posting pelantikan prabowo jd presiden maju sehari ,lu posting pelantikan prabowo jd presiden maju sehari,"['lu', 'posting', 'pelantikan', 'prabowo', 'jd', 'presiden', 'maju', 'sehari']","['lu', 'posting', 'pelantikan', 'prabowo', 'jd', 'presiden', 'maju', 'sehari']",,lu posting pelantikan prabowo jd presiden maju sehari,You posted Prabowo's inauguration as president one day ahead,0.0,0.0,netral,2
 @GInD0_ Persiapan Menjelang pelantikan Presiden dan Wakil Presiden terpilih 2025 nnti kok makin menuju Paham Komunis Terpimpin yah , @gind0_ persiapan menjelang pelantikan presiden dan wakil presiden terpilih 2025 nnti kok makin menuju paham komunis terpimpin yah ,persiapan menjelang pelantikan presiden dan wakil presiden terpilih nnti kok makin menuju paham komunis terpimpin yah,"['persiapan', 'menjelang', 'pelantikan', 'presiden', 'dan', 'wakil', 'presiden', 'terpilih', 'nnti', 'kok', 'makin', 'menuju', 'paham', 'komunis', 'terpimpin', 'yah']","['persiapan', 'menjelang', 'pelantikan', 'presiden', 'dan', 'wakil', 'presiden', 'terpilih', 'nnti', 'kok', 'makin', 'menuju', 'paham', 'komunis', 'terpimpin', 'yah']",,persiapan menjelang pelantikan presiden dan wakil presiden terpilih nnti kok makin menuju paham komunis terpimpin yah,Preparations for the inauguration of the elected president and vice president are increasingly moving towards guided communist ideology,0.0,0.0,netral,2
Kaesang dapet undangan pelantikan tgl 20/10 atas nama apa yak? a. Anak Presiden lama b. Adek Wapres baru c. Ketum Partai ,kaesang dapet undangan pelantikan tgl 20/10 atas nama apa yak? a. anak presiden lama b. adek wapres baru c. ketum partai ,kaesang dapet undangan pelantikan tgl atas nama apa yak? anak presiden lama adek wapres baru ketum partai,"['kaesang', 'dapet', 'undangan', 'pelantikan', 'tgl', 'atas', 'nama', 'apa', 'yak', '?', 'anak', 'presiden', 'lama', 'adek', 'wapres', 'baru', 'ketum', 'partai']","['kaesang', 'dapet', 'undangan', 'pelantikan', 'tgl', 'atas', 'nama', 'apa', 'yak', '?', 'anak', 'presiden', 'lama', 'adek', 'wapres', 'baru', 'ketum', 'partai']",,kaesang dapet undangan pelantikan tgl atas nama apa yak ? anak presiden lama adek wapres baru ketum partai,"Surprisingly you got an invitation to the inauguration in what name? The son of the old president, the younger brother of the new vice president, heads the party",0.28863636363636364,0.23409090909090907,positif,1
@CNNIndonesia Klau Keppres belum ada pelantikan presiden terpilih juga masih di jakarta ,@cnnindonesia klau keppres belum ada pelantikan presiden terpilih juga masih di jakarta ,klau keppres belum ada pelantikan presiden terpilih juga masih di jakarta,"['klau', 'keppres', 'belum', 'ada', 'pelantikan', 'presiden', 'terpilih', 'juga', 'masih', 'di', 'jakarta']","['klau', 'keppres', 'belum', 'ada', 'pelantikan', 'presiden', 'terpilih', 'juga', 'masih', 'di', 'jakarta']",,klau keppres belum ada pelantikan presiden terpilih juga masih di jakarta,"Even though the Presidential Decree has not yet been inaugurated, the elected president is still in Jakarta",0.0,0.0,netral,2
 @msaid_didu Jgn terlalu panik dulu Om. Tunggu pelantikan Presiden RI nanti apa yg terjadi setelahnya Insya Allah Indonesia akan jauh lebih baik., @msaid_didu jgn terlalu panik dulu om. tunggu pelantikan presiden ri nanti apa yg terjadi setelahnya insya allah indonesia akan jauh lebih baik.,jgn terlalu panik dulu om tunggu pelantikan presiden ri nanti apa yg terjadi setelahnya insya allah indonesia akan jauh lebih baik,"['jgn', 'terlalu', 'panik', 'dulu', 'om', 'tunggu', 'pelantikan', 'presiden', 'ri', 'nanti', 'apa', 'yg', 'terjadi', 'setelahnya', 'insya', 'allah', 'indonesia', 'akan', 'jauh', 'lebih', 'baik']","['jgn', 'terlalu', 'panik', 'dulu', 'om', 'tunggu', 'pelantikan', 'presiden', 'ri', 'nanti', 'apa', 'yg', 'terjadi', 'setelahnya', 'insya', 'allah', 'indonesia', 'akan', 'jauh', 'lebih', 'baik']",,jgn terlalu panik dulu om tunggu pelantikan presiden ri nanti apa yg terjadi setelahnya insya allah indonesia akan jauh lebih baik,"Don't panic too much, uncle, wait for the inauguration of the President of the Republic of Indonesia, what happens after that, God willing, Indonesia will be much better",0.48333333333333334,0.31666666666666665,positif,1
Wakil Ketua Dewan Perwakilan Rakyat memastikan bahwa Revisi UU Kementerian Negara akan segera selesai,wakil ketua dewan perwakilan rakyat memastikan bahwa revisi uu kementerian negara akan segera selesai,wakil ketua dewan perwakilan rakyat memastikan bahwa revisi uu kementerian negara akan segera selesai,"['wakil', 'ketua', 'dewan', 'perwakilan', 'rakyat', 'memastikan', 'bahwa', 'revisi', 'uu', 'kementerian', 'negara', 'akan', 'segera', 'selesai']","['wakil', 'ketua', 'dewan', 'perwakilan', 'rakyat', 'memastikan', 'bahwa', 'revisi', 'uu', 'kementerian', 'negara', 'akan', 'segera', 'selesai']",,wakil ketua dewan perwakilan rakyat memastikan bahwa revisi uu kementerian negara akan segera selesai,The deputy chairman of the People's Representative Council confirmed that the revision of the law on state ministries would be completed soon,1.0,0.4,positif,1
Hahaha Negara lucu Pelantikan Prabowo sebagai Presiden Indonesia sangat kontroversi !! ini mengabaikan isu hak asasi manusia dan rekam jejak kontroversialnya di masa lalu. ,hahaha negara lucu pelantikan prabowo sebagai presiden indonesia sangat kontroversi !! ini mengabaikan isu hak asasi manusia dan rekam jejak kontroversialnya di masa lalu. ,hahaha negara lucu pelantikan prabowo sebagai presiden indonesia sangat kontroversi !! ini mengabaikan isu hak asasi manusia dan rekam jejak kontroversialnya di masa lalu,"['hahaha', 'negara', 'lucu', 'pelantikan', 'prabowo', 'sebagai', 'presiden', 'indonesia', 'sangat', 'kontroversi', '!', '!', 'ini', 'mengabaikan', 'isu', 'hak', 'asasi', 'manusia', 'dan', 'rekam', 'jejak', 'kontroversialnya', 'di', 'masa', 'lalu']","['hahaha', 'negara', 'lucu', 'pelantikan', 'prabowo', 'sebagai', 'presiden', 'indonesia', 'sangat', 'kontroversi', '!', '!', 'ini', 'mengabaikan', 'isu', 'hak', 'asasi', 'manusia', 'dan', 'rekam', 'jejak', 'kontroversialnya', 'di', 'masa', 'lalu']",,hahaha negara lucu pelantikan prabowo sebagai presiden indonesia sangat kontroversi ! ! ini mengabaikan isu hak asasi manusia dan rekam jejak kontroversialnya di masa lalu,hahaha funny country Prabowo's inauguration as president of Indonesia was very controversial! ! this ignores human rights issues and its controversial past record,0.6166666666666667,0.2916666666666667,positif,1
@Aris_K_182 @ARSIPAJA Maret 2014 masih 9 k terus September 2014 pelantikan jadi 12 k naik 3 k/$ kan momentum sama nih mau pelantikan presiden baru ,@aris_k_182 @arsipaja maret 2014 masih 9 k terus september 2014 pelantikan jadi 12 k naik 3 k/$ kan momentum sama nih mau pelantikan presiden baru ,maret masih terus september pelantikan jadi naik kan momentum sama nih mau pelantikan presiden baru,"['maret', 'masih', 'terus', 'september', 'pelantikan', 'jadi', 'naik', 'kan', 'momentum', 'sama', 'nih', 'mau', 'pelantikan', 'presiden', 'baru']","['maret', 'masih', 'terus', 'september', 'pelantikan', 'jadi', 'naik', 'kan', 'momentum', 'sama', 'nih', 'mau', 'pelantikan', 'presiden', 'baru']",,maret masih terus september pelantikan jadi naik kan momentum sama nih mau pelantikan presiden baru,"March still continues with September's inauguration, so the momentum is increasing for the new president to be inaugurated",0.45454545454545453,0.13636363636363635,positif,1
Siapapun TAU kecuali org BODOH alias Super DUNGU. Calon yg dimaksudkan itu ya saat Pendaftaran bukan saat pelantikan. Sejak kpn di republik ini org py pikiran calon(batasan umur ) mulai di hitung saat Pelantikan?,siapapun tau kecuali org bodoh alias super dungu. calon yg dimaksudkan itu ya saat pendaftaran bukan saat pelantikan. sejak kpn di republik ini org py pikiran calon(batasan umur ) mulai di hitung saat pelantikan?,siapapun tau kecuali org bodoh alias super dungu calon yg dimaksudkan itu ya saat pendaftaran bukan saat pelantikan sejak kpn di republik ini org py pikiran calon batasan umur mulai di hitung saat pelantikan?,"['siapapun', 'tau', 'kecuali', 'org', 'bodoh', 'alias', 'super', 'dungu', 'calon', 'yg', 'dimaksudkan', 'itu', 'ya', 'saat', 'pendaftaran', 'bukan', 'saat', 'pelantikan', 'sejak', 'kpn', 'di', 'republik', 'ini', 'org', 'py', 'pikiran', 'calon', 'batasan', 'umur', 'mulai', 'di', 'hitung', 'saat', 'pelantikan', '?']","['siapapun', 'tau', 'kecuali', 'org', 'bodoh', 'alias', 'super', 'dungu', 'calon', 'yg', 'dimaksudkan', 'itu', 'ya', 'saat', 'pendaftaran', 'bukan', 'saat', 'pelantikan', 'sejak', 'kpn', 'di', 'republik', 'ini', 'org', 'py', 'pikiran', 'calon', 'batasan', 'umur', 'mulai', 'di', 'hitung', 'saat', 'pelantikan', '?']",,siapapun tau kecuali org bodoh alias super dungu calon yg dimaksudkan itu ya saat pendaftaran bukan saat pelantikan sejak kpn di republik ini org py pikiran calon batasan umur mulai di hitung saat pelantikan ?,"does anyone know, except for stupid people or super stupid people, the candidate in question is at registration, not at inauguration, since when in this republic do people think that the age limit for candidates starts to be calculated at inauguration?",0.8888888888888888,-0.4222222222222222,negatif,0
 Emang negara kita lgi knp?? Buktinya pelantikan presiden nnti bulan Oktober? , emang negara kita lgi knp?? buktinya pelantikan presiden nnti bulan oktober? ,emang negara kita lgi knp?? buktinya pelantikan presiden nnti bulan oktober?,"['emang', 'negara', 'kita', 'lgi', 'knp', '?', '?', 'buktinya', 'pelantikan', 'presiden', 'nnti', 'bulan', 'oktober', '?']","['emang', 'negara', 'kita', 'lgi', 'knp', '?', '?', 'buktinya', 'pelantikan', 'presiden', 'nnti', 'bulan', 'oktober', '?']",,emang negara kita lgi knp ? ? buktinya pelantikan presiden nnti bulan oktober ?,What's wrong with our country? ? Is the proof that the presidential inauguration will be in October?,0.9,-0.5,negatif,0
